"component","regulator","date","condition","accelerated","withdrawn","first_in_class","note","context","stage_or_status","risk_stratification","demographics","ineligibility","prior_therapy","prior_therapy_negation","prior_therapy_setting","response_contingency","time_contingency","prior_biomarker","with","biomarker","biomarker_negation","study_yn","study","string","date_added"
"Abiraterone","EMA","2011-09-05","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","adult men","","Docetaxel-containing regimen",NA,"","progression","","","Predisone OR Prednisolone","","",TRUE,"COU-AA-301","2011-09-05: Initial marketing authorization as Zytiga. Zytiga is indicated with prednisone or prednisolone for the treatment of metastatic castration resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen. <i>(Based on COU-AA-301)</i>","2023-09-17"
"Abiraterone","EMA","2012-12-18","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","adult men","asympotomatic or mildly symptomatic in whom chemotherapy is not yet clinically indicated","ADT",NA,"","Failure","","","","","",NA,"","2012-12-18: Extension of Indication to include new population for Zytiga in combination with prednisone or prednisolone for the treatment of metastatic castration resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated.","2023-09-17"
"Abiraterone","EMA","2017-11-15","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Metastatic","high risk","adult men","","0",NA,"","","","","ADT AND (Prednisone OR Prednisolone)","","",NA,"","2017-11-15: Extension of Indication to include treatment of newly diagnosed high risk metastatic hormone sensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mHSCP) in adult men in combination with androgen deprivation therapy (ADT) for Zytiga plus prednisone or prednisolone.","2023-09-17"
"Abiraterone","FDA","2011-04-28","Prostate cancer",FALSE,FALSE,TRUE,"","Castrate-resistant","Metastatic","","","","Docetaxel","FALSE","","","","","","","",TRUE,"COU-AA-301","2011-04-28: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm253055.htm"">FDA approved</a> to treat patients with late-stage (metastatic) castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer""> prostate cancer</a> who have received prior <a href=""/wiki/Docetaxel_(Taxotere)"" title=""Docetaxel (Taxotere)""> docetaxel</a> (chemotherapy). <i>(Based on COU-AA-301)</i>","2022-09-05"
"Abiraterone","FDA","2012-12-10","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","men","","Chemotherapy","TRUE","","","","","","","",TRUE,"COU-AA-302","2012-12-10: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm331492.htm"">FDA approved</a> to treat men with late-stage (metastatic) castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer""> prostate cancer</a> prior to receiving chemotherapy. <i>(Based on COU-AA-302)</i>","2022-09-05"
"Abiraterone","FDA","2018-02-07","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-sensitive","Metastatic","High-risk","","","",NA,"","","","","Prednisone","","",TRUE,"LATITUDE","2018-02-07: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-abiraterone-acetate-combination-prednisone-high-risk-metastatic-castration-sensitive"">FDA approved</a> in combination with <a href=""/wiki/Prednisone_(Sterapred)"" title=""Prednisone (Sterapred)"">prednisone</a> for metastatic high-risk castration-sensitive <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (CSPC). <i>(Based on LATITUDE)</i>","2022-09-05"
"Abiraterone","HC","2011-07-27","Prostate cancer",FALSE,FALSE,FALSE,"","","Metastatic","","","","Docetaxel-containing regimen","FALSE","","","","","Prednisone","","",NA,"","2011-07-27: Initial notice of compliance with prednisone for the treatment of metastatic <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (castration-resistant prostate cancer) in patients who have received prior chemotherapy containing docetaxel.","2023-05-08"
"Abiraterone","HC","2013-05-28","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","Metastatic","","","","Androgen deprivation therapy","FALSE","","Failure","","","Prednisone","","",NA,"","2013-05-28: New indication in combination with prednisone for the treatment of metastatic castration resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> (mCRPC) in patients who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy (ADT).","2023-05-08"
"Abiraterone","HC","2018-02-13","Prostate cancer",FALSE,FALSE,FALSE,"","First-line","Metastatic","High-risk","","","Optional ADT","FALSE","","","Up to 3 months","","Prednisone AND ADT","","",NA,"","2018-02-13: New indication in combination with prednisone and androgen depletion therapy (ADT) for the treatment of patients with newly diagnosed high-risk metastatic <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>, who may have received up to 3 months of prior ADT.","2023-05-08"
"Abiraterone","PMDA","2014-07-04","Prostate cancer",FALSE,FALSE,FALSE,"","Castrate-resistant","","","","","",NA,"","","","","","","",NA,"","2014-07-04: Initial approval for the treatment of castration-resistant <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a>.","2023-06-16"
"Abiraterone","PMDA","2018-02-16","Prostate cancer",FALSE,FALSE,FALSE,"","","","High-risk","","","Endocrine therapy","TRUE","","","","","","","",NA,"","2018-02-16: New additional indication for the treatment of <a href=""/wiki/Prostate_cancer"" title=""Prostate cancer"">prostate cancer</a> in patients with high-risk prognostic factors who have not received previous endocrine therapy.","2023-06-16"
"Acalabrutinib","EMA","2020-11-05","Chronic lymphocytic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","0",NA,"","","","","0|Obinutuzumab","","",NA,"","2020-11-05: Initial authorization as Calquence as monotherapy or in combination with obinutuzumab is indicated for the treatment of adult patients with previously untreated <a href=""/wiki/Chronic_lymphocytic_leukemia"" title=""Chronic lymphocytic leukemia"">chronic lymphocytic leukaemia (CLL)</a>.","2023-09-17"
"Acalabrutinib","EMA","2020-11-05","Chronic lymphocytic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","1+","FALSE","","","","","0","","",NA,"","2020-11-05: Initial authorization as Calquence as monotherapy is indicated for the treatment of adult patients with <a href=""/wiki/Chronic_lymphocytic_leukemia"" title=""Chronic lymphocytic leukemia"">chronic lymphocytic leukaemia (CLL)</a> who have received at least one prior therapy.","2023-09-17"
"Acalabrutinib","FDA","2017-10-31","Mantle cell lymphoma",TRUE,FALSE,FALSE,"","","","","adults","","1+","FALSE","","","","","","","",TRUE,"ACE-LY-004","2017-10-31: Granted accelerated approval for treatment of adult patients with <a href=""/wiki/Mantle_cell_lymphoma"" title=""Mantle cell lymphoma"">mantle cell lymphoma (MCL)</a> who have received at least one prior therapy. <i>(Based on ACE-LY-004)</i>","2022-09-05"
"Acalabrutinib","FDA","2019-11-21","Chronic lymphocytic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","",NA,"","","","","","","",TRUE,"ASCEND","2019-11-21: Approved for adults with <a href=""/wiki/Chronic_lymphocytic_leukemia"" title=""Chronic lymphocytic leukemia"">chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)</a>. <i>(Based on ELEVATE TN and ASCEND)</i>","2022-09-05"
"Acalabrutinib","FDA","2019-11-21","Chronic lymphocytic leukemia",FALSE,FALSE,FALSE,"","","","","adults","","",NA,"","","","","","","",TRUE,"ELEVATE TN","2019-11-21: Approved for adults with <a href=""/wiki/Chronic_lymphocytic_leukemia"" title=""Chronic lymphocytic leukemia"">chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)</a>. <i>(Based on ELEVATE TN and ASCEND)</i>","2022-09-05"
"Acalabrutinib","HC","2019-08-23","NONE",FALSE,FALSE,FALSE,"No linked condition","","","","","","",NA,"","","","","","","",NA,"","2019-08-23: Initial notice of compliance","2023-06-15"
"Acalabrutinib","PMDA","2021-01-22","Chronic lymphocytic leukemia",FALSE,FALSE,FALSE,"","","Relapsed or refractory","","","","",NA,"","","","","","","",NA,"","2021-01-22: Newly indicated for the treatment of relapsed or refractory <a href=""/wiki/Chronic_lymphocytic_leukemia"" title=""Chronic lymphocytic leukemia"">chronic lymphocytic leukemia/small lymphocytic lymphoma</a>.","2023-06-16"
"Acetaminophen","","","",FALSE,FALSE,NA,"No changes in FDA indication section","","","","","","",NA,"","","","","","","",NA,"","","2022-09-05"
"Acetazolamide","","","",FALSE,FALSE,NA,"No record of FDA approval","","","","","","",NA,"","","","","","","",NA,"","","2022-09-05"
"Aclarubicin","PMDA","","NONE",NA,NA,FALSE,"No month/year information","","","","","","",NA,"","","","","","","",NA,"","","2023-06-26"
"Acyclovir","","","",FALSE,FALSE,NA,"No changes in FDA indication section","","","","","","",NA,"","","","","","","",NA,"","","2022-09-05"
"Adagrasib","EMA","2023-11-09","Non-small cell lung cancer",TRUE,FALSE,FALSE,"","","Advanced","","adults","","",NA,"1+ SACT","progression","","","","KRAS p.G12C","",NA,"","2023-11-09: CHMP recommendation for conditional marketing authorisation - KRAZATI as monotherapy is indicated for the treatment of adult patients with advanced <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> with KRAS G12C mutation and disease progression after at least one prior systemic therapy.","2024-01-06"
"Adagrasib","FDA","2022-12-12","Non-small cell lung cancer",TRUE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","adults","","1+ SACT","FALSE","","","","","","KRAS p.G12C","FALSE",TRUE,"KRYSTAL-1_NSCLC","2022-12-12: Granted accelerated approval for adult patients with <a href=""/wiki/Biomarkers#KRAS"" title=""Biomarkers"">KRAS</a> <a href=""/wiki/Biomarkers#G12C"" title=""Biomarkers"">G12C-mutated</a> locally advanced or metastatic <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a>, as determined by an FDA-approved test, who have received at least one prior systemic therapy. <i>(Based on KRYSTAL-1_NSCLC)</i>","2023-03-10"
"Adagrasib","FDA","2024-06-21","Colorectal cancer",TRUE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","adults","","",NA,"fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy","","","","cetuximab","KRAS p.G12C","FALSE",TRUE,"KRYSTAL-1_CRC","2024-06-21: Granted accelerated approval in combination with cetuximab for adults with KRAS G12C-mutated locally advanced or metastatic <a href=""/wiki/Colorectal_cancer"" title=""Colorectal cancer"">colorectal cancer (CRC)</a>, as determined by an FDA-approved test, who have received prior treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy. <i>(Based on KRYSTAL-1_CRC)</i>","2024-09-06"
"ADAMTS13 recombinant","FDA","2023-11-09","Congenital thrombotic thrombocytopenic purpura",FALSE,FALSE,TRUE,"","","","","adults and pediatric","","",NA,"","","","","","","",NA,"","2023-11-09: Approved for prophylactic (preventive) or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with <a href=""/wiki/Congenital_thrombotic_thrombocytopenic_purpura"" title=""Congenital thrombotic thrombocytopenic purpura"">congenital thrombotic thrombocytopenic purpura (cTTP)</a>.","2024-06-03"
"Afamitresgene autoleucel","FDA","2024-08-02","Synovial sarcoma",TRUE,FALSE,TRUE,"To be dissected","","","","","","","","","","","","","","",TRUE,"SPEARHEAD-1","2024-08-02: Granted accelerated approval for adults with unresectable or metastatic <a href=""/wiki/Synovial_sarcoma"" title=""Synovial sarcoma"">synovial sarcoma</a> who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A*02:03P, or -A*02:06P positive and whose tumor expresses the MAGE-A4 antigen as determined by FDA-approved or cleared companion diagnostic devices. <i>(Based on SPEARHEAD-1)</i>","2024-12-02"
"Afatinib","EMA","2013-09-25","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","adults","","",NA,"EGFR TKI-na�ve","","","","0","activating EGFR mutation","FALSE",NA,"","2013-09-25: Initial marketing authorization as Giotrif as monotherapy for the treatment of Epidermal Growth Factor Receptor (EGFR) TKI-naive adult patients with locally advanced or metastatic <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> with activating EGFR mutation(s).","2023-09-17"
"Afatinib","EMA","2016-03-31","Non-small cell lung cancer squamous",FALSE,FALSE,FALSE,"","","Locally advanced OR Metastatic","","","","Platinum-based regimen",NA,"","progression","","","","","",NA,"","2016-03-31: Extension of indications to include patients with locally advanced or metastatic <a href=""/wiki/Non-small_cell_lung_cancer,_squamous"" title=""Non-small cell lung cancer, squamous"">Non-small cell lung cancer (NSCLC) of squamous histology</a> progressing on or after platinum-based chemotherapy.","2023-09-17"
"Afatinib","FDA","2013-07-12","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","","","0","FALSE","","","","","","EGFR exon 19 deletion|EGFR p.L858R","FALSE",TRUE,"LUX-Lung 3","2013-07-12: <a target=""_blank"" rel=""noreferrer noopener"" class=""external text"" href=""https://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm360574.htm"">Approved</a> for the <a href=""/wiki/Contexts#First-line_therapy"" title=""Contexts"">first-line treatment</a> of patients with <a href=""/wiki/Contexts#Metastatic"" title=""Contexts"">metastatic</a> <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors have <a href=""/wiki/Biomarkers#EGFR"" title=""Biomarkers"">epidermal growth factor receptor</a> <a href=""/wiki/Biomarkers#Exon_19"" title=""Biomarkers"">exon 19</a> <a href=""/wiki/Biomarkers#Deletion"" title=""Biomarkers"">deletion</a> or <a href=""/wiki/Biomarkers#L858R"" title=""Biomarkers"">exon 21 (L858R) substitution</a> mutations as detected by an FDA-approved test. <i>(Based on LUX-Lung 3)</i>","2022-09-05"
"Afatinib","FDA","2016-04-15","Non-small cell lung cancer squamous",FALSE,FALSE,FALSE,"","","Metastatic","","","","Platinum-based regimen","FALSE","","","","","","","",TRUE,"LUX-Lung 8","2016-04-15: Approved for treatment of patients with <a href=""/wiki/Contexts#Metastatic"" title=""Contexts"">metastatic</a>, <a href=""/wiki/Non-small_cell_lung_cancer,_squamous"" title=""Non-small cell lung cancer, squamous"">squamous NSCLC</a> <a href=""/wiki/Contexts#Subsequent-line_therapy"" title=""Contexts"">progressing after</a> <a href=""/wiki/Regimen_classes#Platinum-based_regimen"" title=""Regimen classes"">platinum-based chemotherapy</a>. <i>(Based on LUX-Lung 8)</i>","2022-09-05"
"Afatinib","FDA","2018-01-12","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","","","0","FALSE","","","","","","non-resistant EGFRm","FALSE",TRUE,"LUX-Lung 2","2018-01-12: Approval expanded for a broadened indication in <a href=""/wiki/Contexts#First-line_therapy"" title=""Contexts"">first-line treatment</a> of patients with <a href=""/wiki/Contexts#Metastatic"" title=""Contexts"">metastatic</a> <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors have <a href=""/wiki/Biomarkers#Non-resistant"" title=""Biomarkers"">non-resistant</a> <a href=""/wiki/Biomarkers#EGFR"" title=""Biomarkers"">epidermal growth factor receptor</a> mutations as detected by an FDA-approved test. <i>(Based on LUX-Lung 2, LUX-Lung 3, and LUX-Lung 6)</i>","2022-09-05"
"Afatinib","FDA","2018-01-12","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","","","0","FALSE","","","","","","non-resistant EGFRm","FALSE",TRUE,"LUX-Lung 3","2018-01-12: Approval expanded for a broadened indication in <a href=""/wiki/Contexts#First-line_therapy"" title=""Contexts"">first-line treatment</a> of patients with <a href=""/wiki/Contexts#Metastatic"" title=""Contexts"">metastatic</a> <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors have <a href=""/wiki/Biomarkers#Non-resistant"" title=""Biomarkers"">non-resistant</a> <a href=""/wiki/Biomarkers#EGFR"" title=""Biomarkers"">epidermal growth factor receptor</a> mutations as detected by an FDA-approved test. <i>(Based on LUX-Lung 2, LUX-Lung 3, and LUX-Lung 6)</i>","2022-09-05"
"Afatinib","FDA","2018-01-12","Non-small cell lung cancer",FALSE,FALSE,FALSE,"","","Metastatic","","","","0","FALSE","","","","","","non-resistant EGFRm","FALSE",TRUE,"LUX-Lung 6","2018-01-12: Approval expanded for a broadened indication in <a href=""/wiki/Contexts#First-line_therapy"" title=""Contexts"">first-line treatment</a> of patients with <a href=""/wiki/Contexts#Metastatic"" title=""Contexts"">metastatic</a> <a href=""/wiki/Non-small_cell_lung_cancer"" title=""Non-small cell lung cancer"">non-small cell lung cancer (NSCLC)</a> whose tumors have <a href=""/wiki/Biomarkers#Non-resistant"" title=""Biomarkers"">non-resistant</a> <a href=""/wiki/Biomarkers#EGFR"" title=""Biomarkers"">epidermal growth factor receptor</a> mutations as detected by an FDA-approved test. <i>(Based on LUX-Lung 2, LUX-Lung 3, and LUX-Lung 6)</i>","2022-09-05"
